0	100	0	1.65	1.31	0.03	2.10	7.01	
0	100	1	0.95	0.88	0.02	1.30	7.64	
0	100	2	1.02	0.76	0.02	1.27	7.55	
0	100	3	1.07	0.81	0.04	1.34	7.51	
0	100	4	1.07	0.89	0.07	1.39	7.52	
0	100	5	1.37	0.46	0.06	1.45	7.18	
0	100	6	1.36	0.22	0.04	1.37	7.18	
0	100	7	1.47	0.18	0.07	1.48	7.07	
0	100	8	1.84	0.00	0.00	1.84	6.70	
0	100	9	1.84	0.00	0.00	1.84	6.70	
0	100	10	1.84	0.00	0.00	1.84	6.70	
1	0	1	2.91	0.97	0.05	3.06	5.71	
1	0	2	2.86	1.12	0.06	3.07	5.78	
1	0	3	2.90	0.96	0.06	3.05	5.72	
1	0	4	2.80	0.84	0.07	2.92	5.80	
1	0	5	2.58	0.66	0.08	2.67	5.99	
1	0	6	2.55	0.38	0.07	2.58	6.00	
1	0	7	3.06	0.63	0.16	3.13	5.51	
1	1	0	3.47	1.77	0.10	3.89	5.37	
1	1	1	2.68	1.19	0.06	2.93	5.97	
1	1	2	2.75	1.00	0.05	2.92	5.87	
1	1	3	2.68	0.81	0.05	2.80	5.91	
1	1	4	2.68	0.90	0.08	2.83	5.92	
1	1	5	2.72	1.00	0.13	2.90	5.90	
1	1	6	2.75	0.48	0.14	2.80	5.80	
1	1	7	2.78	0.62	0.22	2.85	5.79	
1	1	8	2.55	0.00	0.00	2.55	5.99	
1	2	0	3.37	1.96	0.09	3.90	5.53	
1	2	1	2.55	1.18	0.05	2.81	6.10	
1	2	2	2.60	1.09	0.06	2.81	6.04	
1	2	3	2.53	0.86	0.05	2.67	6.07	
1	2	4	2.62	1.09	0.10	2.83	6.02	
1	2	5	2.45	0.64	0.10	2.54	6.12	
1	2	6	2.71	0.62	0.15	2.78	5.86	
1	2	7	2.55	0.00	0.00	2.55	5.99	
1	3	0	3.17	1.88	0.08	3.69	5.69	
1	3	1	2.48	1.12	0.05	2.72	6.16	
1	3	2	2.48	1.03	0.05	2.68	6.15	
1	3	3	2.47	1.16	0.08	2.73	6.18	
1	3	4	2.51	0.78	0.08	2.63	6.07	
1	3	5	2.29	0.61	0.10	2.37	6.28	
1	3	6	2.73	0.66	0.27	2.81	5.85	
1	3	7	2.38	0.00	0.00	2.38	6.16	
1	4	0	2.91	1.76	0.07	3.40	5.89	
1	4	1	2.22	1.08	0.04	2.47	6.41	
1	4	2	2.28	1.11	0.05	2.54	6.35	
1	4	3	2.33	1.00	0.07	2.54	6.28	
1	4	4	2.14	0.78	0.08	2.27	6.44	
1	4	5	2.40	0.79	0.12	2.53	6.19	
1	4	6	2.18	0.14	0.07	2.18	6.36	
1	4	7	2.33	0.05	0.04	2.33	6.21	
1	5	0	2.73	1.82	0.06	3.28	6.09	
1	5	1	2.04	1.08	0.04	2.30	6.59	
1	5	2	2.19	1.03	0.05	2.42	6.43	
1	5	3	2.00	0.79	0.06	2.15	6.58	
1	5	4	2.24	0.92	0.10	2.42	6.36	
1	5	5	1.85	0.67	0.17	1.97	6.72	
1	5	6	2.35	0.63	0.15	2.44	6.22	
1	6	0	2.52	1.65	0.05	3.01	6.24	
1	6	1	1.99	1.17	0.04	2.31	6.65	
1	6	2	1.87	1.13	0.05	2.18	6.76	
1	6	3	2.01	1.03	0.08	2.26	6.61	
1	6	4	1.89	0.87	0.12	2.09	6.70	
1	6	5	2.00	0.79	0.14	2.15	6.59	
1	6	6	1.66	0.85	0.32	1.86	6.93	
1	6	7	2.32	0.30	0.15	2.34	6.22	
1	7	0	2.50	1.71	0.05	3.03	6.27	
1	7	1	1.70	1.05	0.04	2.00	6.92	
1	7	2	1.77	1.37	0.07	2.24	6.91	
1	7	3	1.70	0.92	0.07	1.93	6.90	
1	7	4	1.95	1.16	0.13	2.27	6.69	
1	7	5	1.37	0.76	0.17	1.57	7.20	
1	7	6	1.87	0.61	0.25	1.97	6.69	
1	7	7	2.93	0.00	0.00	2.93	5.61	
1	8	0	2.23	1.52	0.05	2.70	6.48	
1	8	1	1.60	1.39	0.05	2.12	7.08	
1	8	2	1.50	0.94	0.05	1.77	7.09	
1	8	3	1.97	1.12	0.10	2.26	6.66	
1	8	4	1.53	0.76	0.09	1.71	7.05	
1	8	5	1.35	1.11	0.23	1.75	7.27	
1	8	6	1.52	1.00	0.58	1.82	7.09	
1	8	7	1.80	0.00	0.00	1.80	6.74	
1	9	0	2.08	1.82	0.06	2.76	6.71	
1	9	1	1.32	1.05	0.04	1.69	7.29	
1	9	2	1.61	1.12	0.06	1.96	7.02	
1	9	3	1.42	0.86	0.07	1.66	7.17	
1	9	4	1.75	1.18	0.17	2.11	6.89	
1	9	5	2.89	1.61	0.51	3.30	5.87	
1	9	6	1.32	0.54	0.15	1.43	7.24	
1	9	7	0.81	0.00	0.00	0.81	7.73	
1	10	0	1.96	1.46	0.04	2.44	6.74	
1	10	1	1.33	1.01	0.04	1.67	7.28	
1	10	2	1.28	0.88	0.05	1.56	7.31	
1	10	3	1.61	1.20	0.10	2.01	7.03	
1	10	4	1.31	0.74	0.11	1.51	7.26	
1	10	5	1.76	1.17	0.30	2.12	6.87	
1	10	6	3.03	1.52	0.42	3.39	5.71	
1	11	0	2.02	1.45	0.05	2.49	6.68	
1	11	1	1.25	0.86	0.03	1.51	7.34	
1	11	2	1.25	0.96	0.05	1.57	7.35	
1	11	3	1.33	0.86	0.07	1.59	7.25	
1	11	4	1.29	1.13	0.16	1.71	7.34	
1	11	5	1.36	0.67	0.14	1.52	7.20	
1	11	6	5.44	0.00	0.00	5.44	3.10	
1	11	7	1.58	0.36	0.25	1.62	6.97	
1	12	0	1.88	1.48	0.04	2.39	6.81	
