0	1	10.00	0.00	0.00	10.00	8.64	
0	2000	0.00	0.00	0.00	0.00	1.36	
1	0	-1000.00	0.00	0.00	1000.00	1001.36	
1	1	3.48	23.77	0.29	24.02	23.86	
1	2	1.00	10.01	0.09	10.06	10.02	
1	3	0.63	2.03	0.02	2.13	2.16	
1	4	0.24	1.75	0.02	1.76	2.07	
1	5	-0.09	1.67	0.02	1.67	2.21	
1	6	-0.41	1.88	0.03	1.92	2.58	
1	7	-0.59	1.91	0.03	2.00	2.73	
1	8	-0.58	1.87	0.04	1.96	2.70	
1	9	-0.57	1.86	0.04	1.95	2.68	
1	10	-0.49	1.72	0.05	1.79	2.53	
1	11	-0.36	1.38	0.05	1.43	2.21	
1	12	-0.57	2.02	0.09	2.10	2.79	
1	13	-0.48	1.72	0.09	1.79	2.52	
1	14	-1.37	2.77	0.23	3.09	3.89	
1	15	-1.69	2.53	0.38	3.05	3.97	
1	16	-2.25	2.95	0.72	3.71	4.66	
1	17	-1.63	2.67	0.81	3.13	4.01	
1	18	0.00	0.00	0.00	0.00	1.36	
2	0	-1000.00	0.00	0.00	1000.00	1001.36	
2	1	3.21	44.22	0.36	44.34	44.26	
2	2	0.75	32.40	0.20	32.41	32.41	
2	3	0.47	22.45	0.14	22.45	22.47	
2	4	0.20	13.60	0.10	13.60	13.65	
2	5	0.13	1.81	0.02	1.81	2.18	
2	6	-0.21	1.70	0.02	1.72	2.32	
2	7	-0.43	1.77	0.02	1.82	2.52	
2	8	-0.36	1.58	0.03	1.62	2.34	
2	9	-0.36	1.44	0.04	1.48	2.24	
2	10	-0.59	2.01	0.07	2.09	2.80	
2	11	-0.79	2.28	0.12	2.41	3.13	
2	12	-0.78	2.13	0.17	2.27	3.02	
2	13	-1.09	2.42	0.36	2.65	3.44	
2	14	0.00	0.00	0.00	0.00	1.36	
3	0	-1000.00	0.00	0.00	1000.00	1001.36	
3	1	4.18	44.57	0.30	44.77	44.66	
3	2	1.09	36.28	0.19	36.30	36.29	
3	3	0.73	24.59	0.13	24.60	24.60	
3	4	0.47	12.92	0.08	12.93	12.95	
3	5	0.23	2.88	0.02	2.89	3.09	
3	6	-0.07	1.90	0.02	1.90	2.38	
3	7	-0.28	1.85	0.03	1.87	2.47	
3	8	-0.44	1.81	0.04	1.86	2.55	
3	9	-0.68	2.08	0.08	2.19	2.91	
3	10	-0.85	1.85	0.13	2.03	2.88	
3	11	-1.88	2.92	0.35	3.47	4.36	
3	12	-6.53	3.41	1.14	7.37	8.60	
3	13	-4.47	0.78	0.32	4.54	5.88	
3	14	-4.64	0.24	0.17	4.65	6.00	
4	0	-1000.00	0.00	0.00	1000.00	1001.36	
4	1	4.16	53.59	0.34	53.75	53.66	
4	2	2.24	33.07	0.17	33.15	33.08	
4	3	1.55	19.50	0.10	19.56	19.50	
4	4	0.61	14.05	0.09	14.06	14.07	
4	5	-0.05	10.62	0.09	10.62	10.71	
4	6	-0.29	6.33	0.08	6.34	6.54	
4	7	-0.43	4.21	0.08	4.23	4.57	
4	8	-0.15	1.35	0.04	1.36	2.02	
4	9	-0.39	1.70	0.09	1.75	2.44	
4	10	-0.61	2.05	0.21	2.14	2.84	
4	11	0.03	0.05	0.01	0.06	1.33	
4	12	0.12	0.01	0.00	0.12	1.24	
5	0	-1000.00	0.00	0.00	1000.00	1001.36	
5	1	4.39	58.88	0.39	59.04	58.96	
5	2	2.32	38.67	0.21	38.74	38.68	
5	3	1.26	26.34	0.14	26.37	26.34	
5	4	0.65	17.21	0.12	17.22	17.22	
5	5	0.46	6.26	0.06	6.28	6.33	
5	6	0.19	1.96	0.03	1.97	2.28	
5	7	-0.02	1.69	0.04	1.69	2.19	
5	8	-0.06	1.49	0.06	1.49	2.05	
5	9	0.02	0.60	0.05	0.60	1.47	
5	10	0.00	0.00	0.00	0.00	1.36	
5	11	0.00	0.00	0.00	0.00	1.36	
6	0	-1000.00	0.00	0.00	1000.00	1001.36	
6	1	4.95	60.55	0.48	60.75	60.65	
6	2	1.62	48.17	0.32	48.20	48.17	
6	3	1.12	33.86	0.22	33.88	33.86	
6	4	0.92	16.87	0.14	16.90	16.88	
6	5	0.48	11.66	0.16	11.67	11.69	
6	6	0.43	2.11	0.05	2.15	2.31	
6	7	-0.18	2.27	0.08	2.28	2.74	
6	8	-0.66	2.75	0.24	2.82	3.41	
6	9	-0.49	0.82	0.23	0.96	2.02	
6	10	0.13	0.02	0.01	0.13	1.23	
7	0	-1000.00	0.00	0.00	1000.00	1001.36	
7	1	5.28	65.34	0.66	65.55	65.46	
7	2	1.60	54.63	0.47	54.65	54.63	
7	3	1.90	33.64	0.30	33.69	33.64	
7	4	1.66	13.56	0.17	13.66	13.56	
7	5	0.62	9.02	0.17	9.04	9.05	
7	6	0.50	3.73	0.14	3.77	3.83	
7	7	0.44	2.19	0.16	2.23	2.37	
7	8	-0.60	2.95	0.44	3.01	3.54	
7	9	-1.87	3.52	1.33	3.98	4.77	
8	0	-1000.00	0.00	0.00	1000.00	1001.36	
8	1	6.89	60.89	0.83	61.27	61.14	
8	2	1.66	53.41	0.61	53.43	53.41	
8	3	-1.12	48.58	0.57	48.60	48.65	
8	4	-0.07	28.67	0.46	28.67	28.70	
8	5	0.65	8.75	0.26	8.77	8.78	
8	6	-2.06	13.17	0.86	13.33	13.60	
8	7	0.40	1.17	0.18	1.24	1.52	
9	0	-1000.00	0.00	0.00	1000.00	1001.36	
9	1	3.47	76.03	1.46	76.11	76.06	
9	2	1.64	60.09	0.99	60.11	60.09	
9	3	1.68	44.92	0.82	44.95	44.92	
9	4	2.30	14.03	0.39	14.22	14.07	
9	5	1.74	7.95	0.41	8.14	7.96	
9	6	2.17	3.04	0.32	3.74	3.15	
9	7	1.28	3.29	0.82	3.53	3.29	
9	8	0.00	0.00	0.00	0.00	1.36	
10	0	-1000.00	0.00	0.00	1000.00	1001.36	
10	1	4.26	74.58	2.21	74.70	74.63	
10	2	5.15	39.25	0.99	39.59	39.43	
10	3	2.50	25.87	0.72	25.99	25.89	
10	4	-0.32	20.69	0.96	20.69	20.76	
10	5	1.40	2.36	0.27	2.74	2.36	
10	6	0.68	0.91	0.14	1.14	1.14	
10	7	0.55	0.29	0.13	0.62	0.86	
11	1	13.71	22.71	1.08	26.53	25.85	
11	2	8.66	13.71	0.57	16.22	15.53	
11	3	7.11	4.97	0.26	8.67	7.60	
11	4	3.87	3.55	0.26	5.25	4.35	
11	5	1.69	1.41	0.34	2.20	1.45	
12	1	16.26	15.21	1.10	22.27	21.29	
12	2	7.38	15.37	1.06	17.05	16.50	
12	3	3.66	10.66	0.83	11.27	10.91	
12	4	1.34	1.91	0.23	2.33	1.91	
12	5	-8.39	0.35	0.20	8.40	9.76	
13	1	20.45	7.18	0.93	21.68	20.40	
13	2	12.84	6.10	0.65	14.22	13.00	
13	3	8.71	5.58	0.81	10.34	9.23	
13	4	9.39	5.97	2.26	11.13	10.01	
14	1	22.55	7.52	1.72	23.77	22.48	
14	2	13.62	6.56	1.01	15.12	13.90	
14	3	7.22	5.42	0.75	9.03	7.98	
14	4	6.67	3.99	1.15	7.77	6.64	
15	1	15.90	2.82	2.00	16.15	14.81	
15	2	13.40	2.41	0.98	13.61	12.28	
15	3	11.94	3.40	1.20	12.42	11.11	
