0	0	-102.83	6.51	0.30	103.04	381.37	
0	1	213.39	155.72	1.07	264.17	168.78	
0	2	220.29	145.05	0.82	263.75	156.29	
0	3	245.44	130.91	0.74	278.17	135.02	
0	4	293.27	115.05	0.38	315.03	116.00	
0	5	285.44	113.62	0.45	307.22	113.83	
0	6	293.25	111.06	0.39	313.57	112.04	
0	7	294.43	107.94	0.35	313.60	109.11	
0	8	294.27	107.00	0.33	313.12	108.16	
0	9	295.81	104.84	0.32	313.83	106.26	
0	10	295.01	104.29	0.33	312.90	105.59	
0	11	293.77	102.05	0.37	310.99	103.19	
0	12	292.15	102.22	0.41	309.51	103.12	
0	13	286.14	102.20	0.48	303.84	102.49	
0	14	282.36	104.33	0.56	301.01	104.40	
0	15	280.08	102.90	0.62	298.39	102.91	
0	16	275.19	104.44	0.73	294.34	104.49	
0	17	274.74	103.91	0.85	293.73	103.98	
0	18	272.84	104.82	1.08	292.28	104.97	
0	19	272.34	104.14	1.42	291.57	104.32	
0	20	274.82	103.14	1.97	293.53	103.20	
0	21	271.98	103.77	2.72	291.10	103.97	
0	22	264.00	114.30	4.38	287.69	115.22	
0	23	272.73	99.06	4.94	290.17	99.23	
0	24	262.70	118.31	7.82	288.11	119.36	
0	25	291.17	84.18	7.99	303.10	85.13	
0	26	266.54	101.39	14.95	285.18	102.09	
0	27	301.00	79.98	18.35	311.45	83.09	
0	28	294.67	91.95	37.54	308.68	93.37	
1	2	210.00	0.00	0.00	210.00	68.48	
1	3	225.65	135.13	17.45	263.02	145.10	
1	4	212.56	134.13	2.88	251.34	149.45	
1	5	243.50	120.59	1.41	271.73	125.56	
1	6	244.21	118.16	1.96	271.30	123.03	
1	7	253.44	113.75	2.19	277.80	116.48	
1	8	256.48	112.49	2.38	280.06	114.62	
1	9	260.05	108.03	2.23	281.60	109.59	
1	10	261.53	106.23	2.41	282.28	107.58	
1	11	266.72	102.60	2.45	285.78	103.27	
1	12	269.15	101.08	2.92	287.50	101.51	
1	13	260.93	106.89	3.64	281.98	108.33	
1	14	276.81	92.45	3.78	291.84	92.47	
1	15	272.45	100.36	5.25	290.35	100.55	
1	16	274.74	102.12	6.95	293.10	102.19	
1	17	273.12	99.35	6.59	290.63	99.49	
1	18	273.86	97.37	7.42	290.66	97.48	
1	19	287.80	85.82	8.71	300.33	86.33	
1	20	288.43	80.49	13.23	299.45	81.10	
1	21	267.13	101.08	18.45	285.62	101.71	
1	22	261.36	71.51	21.56	270.97	73.53	
2	1	164.00	130.06	53.10	209.31	173.27	
2	2	210.00	0.00	0.00	210.00	68.48	
2	3	262.83	109.73	8.09	284.81	110.85	
2	4	222.04	129.57	2.35	257.08	141.33	
2	5	247.02	119.30	1.42	274.32	123.38	
2	6	252.20	114.44	2.06	276.95	117.42	
2	7	255.87	116.30	2.23	281.06	118.48	
2	8	259.81	113.91	2.33	283.69	115.42	
2	9	264.53	105.36	2.28	284.74	106.28	
2	10	262.39	107.29	2.62	283.47	108.49	
2	11	269.53	105.13	2.66	289.31	105.51	
2	12	271.52	103.85	2.83	290.70	104.08	
2	13	269.28	101.25	3.19	287.69	101.66	
2	14	276.74	97.39	3.97	293.37	97.40	
2	15	268.18	108.49	5.74	289.29	108.98	
2	16	273.27	99.85	6.34	290.95	99.99	
2	17	273.61	97.98	6.32	290.62	98.10	
2	18	274.75	106.95	8.98	294.84	107.02	
2	19	299.83	80.54	7.94	310.45	83.32	
2	20	298.93	78.74	14.62	309.13	81.35	
2	21	288.82	92.17	15.81	303.17	92.75	
2	22	278.08	79.80	23.04	289.31	79.80	
2	23	176.67	65.11	37.59	188.28	120.85	
3	2	119.00	126.94	51.82	174.00	203.83	
3	3	265.28	109.04	8.04	286.82	109.84	
3	4	223.80	125.51	2.19	256.59	136.91	
3	5	244.96	119.04	1.30	272.35	123.67	
3	6	253.28	112.18	1.71	277.01	114.98	
3	7	255.92	114.23	1.98	280.25	116.43	
3	8	258.69	113.60	2.14	282.54	115.31	
3	9	263.66	108.21	2.36	285.00	109.22	
3	10	265.27	107.85	2.77	286.35	108.66	
3	11	261.56	108.86	2.77	283.31	110.17	
3	12	271.94	101.55	2.66	290.29	101.76	
3	13	268.33	106.95	3.13	288.86	107.43	
3	14	272.24	101.75	3.73	290.63	101.94	
3	15	272.28	102.16	4.56	290.81	102.35	
3	16	277.10	100.65	5.43	294.81	100.66	
3	17	289.03	93.11	6.69	303.65	93.71	
3	18	271.35	106.51	8.64	291.50	106.75	
3	19	288.20	96.30	8.72	303.87	96.79	
3	20	290.24	93.65	13.96	304.98	94.38	
3	21	284.31	88.17	15.59	297.67	88.36	
3	22	276.50	80.90	23.35	288.09	80.92	
3	23	279.00	101.97	41.63	297.05	101.97	
3	24	234.00	72.07	36.03	244.85	84.69	
4	1	259.58	76.50	22.08	270.62	78.80	
